net,length_um
_0358_,8.9µm
_0818_,8.895µm
_0008_,8.89µm
_0290_,8.89µm
_0293_,8.89µm
delay_count_reg_1[11],8.78µm
delay_count_reg_1[15],8.78µm
net402,8.76µm
_0003_,8.7µm
_0196_,8.7µm
_0443_,8.65µm
_0207_,8.64µm
_0517_,8.64µm
_0827_,8.64µm
_0000_,8.595µm
_0140_,8.59µm
_0731_,8.59µm
_0654_,8.58µm
delay_count_reg_0[0],8.55µm
_0566_,8.53µm
delay_chain_inst.cycle_count\[9\],8.53µm
_0295_,8.52µm
_0299_,8.52µm
_0355_,8.52µm
_0444_,8.52µm
delay_count_reg_0[11],8.49µm
delay_count_reg_2[3],8.49µm
net295,8.47µm
net477,8.46µm
ro_count_2\[0\],8.425µm
net433,8.42µm
_0428_,8.41µm
_0497_,8.41µm
_0549_,8.41µm
_0557_,8.41µm
_0603_,8.4µm
net490,8.4µm
delay_count_reg_2[5],8.36µm
_0326_,8.295µm
net610,8.25µm
net338,8.23µm
net329,8.22µm
net340,8.22µm
_0162_,8.17µm
_0167_,8.17µm
_0363_,8.17µm
_0526_,8.16µm
_0633_,8.16µm
_0671_,8.16µm
ro_count_1\[0\],8.16µm
net373,8.16µm
_0019_,8.11µm
_0470_,8.11µm
_0483_,8.11µm
_0719_,8.11µm
_0879_,8.11µm
_0638_,8.1µm
_0726_,8.1µm
_0929_,8.1µm
_0930_,8.1µm
_0376_,8.05µm
_0525_,8.04µm
_0571_,8.04µm
corner_class_reg[2],8.04µm
done,8.04µm
_0883_,8.035µm
net590,8.035µm
_0018_,7.98µm
_0493_,7.94µm
net354,7.94µm
net425,7.94µm
net428,7.94µm
net430,7.94µm
net457,7.94µm
net578,7.94µm
_0434_,7.93µm
_0601_,7.93µm
_0933_,7.93µm
_0278_,7.92µm
_0441_,7.92µm
_0455_,7.92µm
_0588_,7.92µm
_0758_,7.92µm
_0710_,7.86µm
net325,7.77µm
_0447_,7.75µm
net368,7.75µm
net460,7.75µm
_0126_,7.74µm
_0134_,7.74µm
_0285_,7.74µm
_0310_,7.74µm
_0721_,7.74µm
_0722_,7.74µm
_0925_,7.74µm
delay_chain_inst.chain_2\[25\],7.74µm
net353,7.74µm
net501,7.74µm
_0677_,7.7µm
_0458_,7.69µm
_0909_,7.69µm
_0420_,7.68µm
delay_chain_inst.chain_1\[11\],7.68µm
net471,7.68µm
_0282_,7.63µm
_0283_,7.63µm
_0291_,7.63µm
_0405_,7.63µm
_0442_,7.63µm
_0294_,7.62µm
busy,7.62µm
ro_count_reg_2[0],7.62µm
net611,7.62µm
_0587_,7.57µm
_0286_,7.56µm
_0461_,7.56µm
_0481_,7.56µm
_0716_,7.555µm
_0803_,7.555µm
net455,7.555µm
net558,7.555µm
net41,7.52µm
net52,7.52µm
delay_count_reg_0[7],7.52µm
_0079_,7.51µm
net308,7.51µm
_0460_,7.47µm
_0520_,7.46µm
_0528_,7.46µm
_0744_,7.46µm
net412,7.46µm
net416,7.46µm
net417,7.46µm
net424,7.46µm
net442,7.46µm
net444,7.46µm
net469,7.46µm
net568,7.46µm
_0005_,7.45µm
_0281_,7.45µm
_0468_,7.45µm
_0572_,7.45µm
_0604_,7.45µm
_0799_,7.45µm
_0903_,7.45µm
net355,7.405µm
net556,7.38µm
net588,7.365µm
net485,7.35µm
_0746_,7.31µm
net24,7.275µm
_0027_,7.26µm
_0193_,7.26µm
_0280_,7.26µm
_0690_,7.26µm
_0850_,7.26µm
_0855_,7.26µm
_0862_,7.26µm
_0370_,7.21µm
_0374_,7.21µm
_0380_,7.21µm
_0381_,7.21µm
_0384_,7.21µm
_0388_,7.21µm
_0390_,7.21µm
_0398_,7.21µm
_0406_,7.21µm
_0407_,7.21µm
_0410_,7.21µm
_0146_,7.2µm
_0180_,7.2µm
_0373_,7.2µm
corner_class_reg[1],7.2µm
net,7.2µm
net32,7.195µm
_0409_,7.185µm
_0362_,7.15µm
_0364_,7.15µm
_0456_,7.15µm
_0488_,7.15µm
net21,7.15µm
_0486_,7.135µm
net39,7.105µm
rst,7.1µm
delay_count_reg_2[4],7.1µm
_0835_,7.095µm
_0242_,7.09µm
_0367_,7.09µm
delay_chain_inst.delay_count_2\[0\],7.09µm
net275,7.09µm
_0366_,7.08µm
_0567_,7.08µm
_0605_,7.08µm
_0697_,7.075µm
_0718_,7.075µm
_0733_,7.075µm
_0737_,7.075µm
net583,7.075µm
_0341_,7.03µm
_0215_,7.02µm
net336,7.02µm
_0284_,7µm
_0689_,6.98µm
net376,6.98µm
net474,6.98µm
net516,6.98µm
_0371_,6.97µm
_0527_,6.97µm
_0852_,6.97µm
_0877_,6.97µm
_0522_,6.96µm
_0401_,6.885µm
_0469_,6.865µm
_0403_,6.84µm
ro_counter_inst.start,6.84µm
net265,6.84µm
net456,6.84µm
_0453_,6.79µm
_0471_,6.79µm
_0491_,6.79µm
_0163_,6.78µm
_0421_,6.78µm
_0776_,6.78µm
ro_count_reg_2[3],6.78µm
_0393_,6.765µm
net209,6.73µm
corner_class_reg[0],6.73µm
ro_count_reg_2[2],6.73µm
ro_count_reg_2[7],6.73µm
status_reg[1],6.73µm
_0011_,6.72µm
_0122_,6.72µm
_0161_,6.72µm
_0210_,6.72µm
_0559_,6.72µm
_0607_,6.72µm
net616,6.72µm
_0177_,6.67µm
_0184_,6.67µm
_0244_,6.67µm
_0445_,6.67µm
_0487_,6.67µm
_0724_,6.67µm
_0884_,6.67µm
_0012_,6.66µm
net600,6.62µm
_0586_,6.61µm
_0621_,6.61µm
_0937_,6.58µm
_0183_,6.5µm
_0377_,6.5µm
net407,6.5µm
_0602_,6.49µm
_0613_,6.49µm
_0796_,6.49µm
_0797_,6.49µm
_0798_,6.49µm
_0874_,6.49µm
_0113_,6.48µm
_0423_,6.48µm
_0760_,6.48µm
_0670_,6.435µm
_0133_,6.405µm
_0093_,6.36µm
net437,6.36µm
start,6.31µm
ro_count_reg_2[1],6.31µm
net229,6.31µm
net382,6.31µm
net618,6.31µm
_0084_,6.3µm
_0437_,6.3µm
_0645_,6.3µm
_0617_,6.285µm
_0150_,6.25µm
_0203_,6.25µm
net384,6.25µm
_0118_,6.24µm
_0119_,6.24µm
_0142_,6.24µm
_0149_,6.24µm
_0151_,6.24µm
_0156_,6.24µm
_0256_,6.24µm
_0825_,6.24µm
_0042_,6.19µm
_0137_,6.19µm
_0279_,6.19µm
_0308_,6.19µm
_0459_,6.19µm
delay_chain_inst.chain_1\[14\],6.19µm
delay_chain_inst.cycle_count\[4\],6.19µm
net314,6.19µm
net615,6.19µm
net309,6.18µm
_0941_,6.175µm
net282,6.16µm
net217,6.13µm
_0292_,6.12µm
_0579_,6.12µm
_0584_,6.12µm
_0628_,6.12µm
_0117_,6.06µm
_0935_,6.06µm
_0152_,6.02µm
_0432_,6.02µm
net301,6.02µm
net374,6.02µm
net386,6.02µm
net418,6.02µm
net438,6.02µm
net450,6.02µm
net562,6.02µm
net584,6.02µm
_0945_,6.01µm
_0354_,6µm
_0498_,6µm
_0191_,5.88µm
_0254_,5.88µm
_0778_,5.865µm
_0368_,5.83µm
_0013_,5.82µm
_0185_,5.82µm
_0679_,5.82µm
_0704_,5.82µm
net289,5.82µm
net345,5.82µm
_0144_,5.77µm
_0145_,5.77µm
_0147_,5.77µm
_0273_,5.77µm
_0942_,5.77µm
delay_chain_inst.delay_count_2\[1\],5.77µm
net551,5.77µm
_0589_,5.76µm
_0653_,5.76µm
_0211_,5.71µm
_0475_,5.71µm
net541,5.71µm
_0532_,5.7µm
_0680_,5.7µm
net73,5.7µm
net394,5.7µm
_0419_,5.65µm
net502,5.65µm
_0288_,5.64µm
_0058_,5.59µm
_0246_,5.54µm
_0920_,5.54µm
net324,5.54µm
_0433_,5.53µm
_0506_,5.53µm
_0534_,5.53µm
_0570_,5.53µm
_0768_,5.53µm
_0907_,5.53µm
delay_chain_inst.delay_count_2\[4\],5.53µm
delay_chain_inst.delay_count_1\[3\],5.48µm
net507,5.47µm
_0464_,5.46µm
net360,5.445µm
_0028_,5.4µm
_0105_,5.4µm
_0265_,5.4µm
_0268_,5.4µm
_0429_,5.4µm
_0540_,5.4µm
_0932_,5.4µm
delay_chain_inst.delay_count_1\[8\],5.4µm
net231,5.35µm
net347,5.35µm
net379,5.35µm
net458,5.35µm
net481,5.35µm
_0702_,5.34µm
_0743_,5.34µm
_0898_,5.34µm
_0902_,5.34µm
delay_chain_inst.chain_0\[4\],5.34µm
delay_chain_inst.cycle_count\[15\],5.34µm
delay_chain_inst.delay_count_2\[14\],5.34µm
net555,5.34µm
_0881_,5.29µm
_0187_,5.28µm
_0389_,5.28µm
_0615_,5.28µm
_0860_,5.28µm
_0546_,5.23µm
net291,5.23µm
net410,5.23µm
_0533_,5.22µm
net249,5.22µm
_0411_,5.16µm
_0426_,5.16µm
_0508_,5.16µm
_0513_,5.16µm
_0568_,5.16µm
_0769_,5.16µm
delay_chain_inst.chain_1\[8\],5.155µm
delay_chain_inst.delay_count_0\[3\],5.155µm
delay_chain_inst.delay_count_1\[2\],5.155µm
ro_counter_inst.warning,5.155µm
net530,5.155µm
_0289_,5.06µm
_0378_,5.06µm
_0382_,5.06µm
_0386_,5.06µm
_0394_,5.06µm
_0395_,5.06µm
_0396_,5.06µm
_0397_,5.06µm
_0400_,5.06µm
_0402_,5.06µm
_0518_,5.06µm
_0784_,5.06µm
net310,5.06µm
net452,5.06µm
net482,5.06µm
_0583_,5.05µm
_0882_,5.05µm
net391,5.05µm
_0843_,5.045µm
_0255_,5.04µm
_0081_,4.98µm
_0466_,4.98µm
net219,4.98µm
net351,4.98µm
_0756_,4.965µm
net342,4.92µm
net563,4.92µm
net619,4.92µm
net267,4.87µm
_0104_,4.86µm
_0132_,4.86µm
_0174_,4.86µm
_0218_,4.86µm
_0325_,4.86µm
_0550_,4.86µm
_0751_,4.86µm
_0859_,4.86µm
delay_chain_inst.delay_count_1\[13\],4.86µm
delay_chain_inst.delay_count_1\[6\],4.86µm
delay_chain_inst.delay_count_2\[7\],4.86µm
net263,4.86µm
net285,4.86µm
net523,4.86µm
net569,4.86µm
net586,4.86µm
net596,4.86µm
_0435_,4.81µm
net277,4.81µm
_0580_,4.8µm
delay_chain_inst.chain_2\[31\],4.785µm
_0125_,4.75µm
_0199_,4.75µm
_0302_,4.74µm
_0307_,4.74µm
_0315_,4.74µm
_0320_,4.74µm
_0562_,4.74µm
delay_chain_inst.chain_2\[18\],4.74µm
delay_chain_inst.chain_2_done,4.74µm
_0297_,4.68µm
_0765_,4.68µm
_0918_,4.68µm
net462,4.675µm
_0924_,4.62µm
_0511_,4.58µm
net246,4.58µm
net497,4.58µm
net543,4.58µm
_0240_,4.57µm
_0542_,4.57µm
_0658_,4.57µm
_0944_,4.57µm
delay_chain_inst.delay_count_2\[5\],4.565µm
_0205_,4.56µm
_0209_,4.56µm
_0476_,4.56µm
_0213_,4.51µm
_0263_,4.51µm
_0516_,4.5µm
_0530_,4.5µm
net269,4.5µm
net566,4.5µm
_0576_,4.44µm
_0824_,4.44µm
_0847_,4.44µm
_0886_,4.44µm
delay_chain_inst.chain_0\[6\],4.44µm
delay_chain_inst.chain_2\[24\],4.44µm
net349,4.44µm
net547,4.44µm
net560,4.44µm
delay_chain_inst.chain_1\[12\],4.425µm
net441,4.39µm
_0056_,4.38µm
_0060_,4.38µm
_0062_,4.38µm
_0157_,4.38µm
_0219_,4.38µm
_0251_,4.38µm
_0311_,4.38µm
_0329_,4.38µm
_0351_,4.38µm
_0446_,4.38µm
_0478_,4.38µm
_0554_,4.38µm
_0664_,4.38µm
_0917_,4.38µm
delay_chain_inst.delay_count_0\[1\],4.38µm
delay_chain_inst.delay_count_1\[1\],4.38µm
ro_counter_inst.measurement_window\[9\],4.38µm
ro_counter_inst.prev_rclk_0,4.38µm
net396,4.38µm
net435,4.38µm
net592,4.38µm
_0651_,4.33µm
_0780_,4.33µm
_0392_,4.32µm
_0415_,4.32µm
_0416_,4.32µm
_0585_,4.32µm
_0319_,4.3µm
_0243_,4.295µm
_0788_,4.28µm
delay_chain_inst.delay_count_0\[0\],4.27µm
_0301_,4.26µm
_0305_,4.26µm
_0333_,4.26µm
_0344_,4.26µm
_0880_,4.26µm
_0078_,4.2µm
_0085_,4.2µm
_0274_,4.2µm
_0521_,4.2µm
_0926_,4.2µm
_0108_,4.195µm
_0136_,4.195µm
_0165_,4.195µm
_0181_,4.195µm
_0231_,4.195µm
_0264_,4.195µm
net400,4.15µm
_0170_,4.14µm
_0033_,4.1µm
_0076_,4.1µm
_0166_,4.1µm
_0189_,4.1µm
_0276_,4.1µm
_0817_,4.1µm
net377,4.1µm
net531,4.1µm
net533,4.1µm
_0575_,4.09µm
_0752_,4.09µm
_0913_,4.09µm
_0477_,4.065µm
_0385_,4.025µm
_0365_,4.02µm
_0454_,4.02µm
net594,4.02µm
_0217_,3.96µm
_0224_,3.96µm
_0646_,3.96µm
_0790_,3.96µm
_0919_,3.96µm
delay_chain_inst.chain_0\[1\],3.96µm
delay_chain_inst.delay_count_0\[10\],3.96µm
delay_chain_inst.delay_count_1\[0\],3.96µm
delay_chain_inst.delay_count_1\[12\],3.96µm
net318,3.96µm
net363,3.96µm
_0700_,3.94µm
_0024_,3.9µm
_0123_,3.9µm
_0124_,3.9µm
_0141_,3.9µm
_0154_,3.9µm
_0194_,3.9µm
_0247_,3.9µm
_0306_,3.9µm
_0531_,3.9µm
_0683_,3.9µm
_0742_,3.9µm
_0887_,3.9µm
_0900_,3.9µm
delay_chain_inst.delay_count_1\[4\],3.9µm
delay_chain_inst.delay_count_1\[5\],3.9µm
delay_chain_inst.delay_count_2\[3\],3.9µm
net253,3.9µm
net261,3.9µm
net293,3.9µm
net398,3.9µm
net473,3.9µm
_0379_,3.85µm
_0668_,3.84µm
net255,3.84µm
_0323_,3.78µm
_0346_,3.78µm
_0031_,3.76µm
_0029_,3.72µm
_0035_,3.72µm
_0039_,3.72µm
_0054_,3.72µm
_0080_,3.72µm
_0083_,3.72µm
_0096_,3.72µm
_0102_,3.72µm
_0115_,3.72µm
_0159_,3.72µm
_0190_,3.72µm
_0200_,3.72µm
_0230_,3.72µm
_0232_,3.72µm
_0236_,3.72µm
_0257_,3.72µm
_0038_,3.715µm
_0049_,3.715µm
_0121_,3.715µm
_0130_,3.715µm
_0143_,3.715µm
_0153_,3.715µm
_0160_,3.715µm
_0192_,3.715µm
_0226_,3.715µm
_0269_,3.715µm
_0271_,3.715µm
_0910_,3.715µm
_0250_,3.66µm
_0916_,3.66µm
_0010_,3.62µm
_0014_,3.62µm
_0016_,3.62µm
_0030_,3.62µm
_0037_,3.62µm
_0048_,3.62µm
_0082_,3.62µm
_0091_,3.62µm
_0094_,3.62µm
_0097_,3.62µm
_0100_,3.62µm
_0103_,3.62µm
_0109_,3.62µm
_0112_,3.62µm
_0131_,3.62µm
_0135_,3.62µm
_0139_,3.62µm
_0172_,3.62µm
_0182_,3.62µm
_0198_,3.62µm
_0201_,3.62µm
_0220_,3.62µm
_0223_,3.62µm
_0239_,3.62µm
_0248_,3.62µm
_0253_,3.62µm
_0259_,3.62µm
_0261_,3.62µm
_0266_,3.62µm
_0270_,3.62µm
_0272_,3.62µm
_0275_,3.62µm
_0893_,3.62µm
net296,3.62µm
net388,3.62µm
_0383_,3.61µm
_0755_,3.61µm
net580,3.61µm
_0609_,3.6µm
_0619_,3.6µm
_0869_,3.585µm
net332,3.585µm
_0353_,3.54µm
_0467_,3.54µm
_0472_,3.54µm
_0754_,3.54µm
net241,3.54µm
net259,3.54µm
net545,3.54µm
_0051_,3.48µm
_0069_,3.48µm
_0110_,3.48µm
_0173_,3.48µm
_0197_,3.48µm
_0202_,3.48µm
_0221_,3.48µm
_0225_,3.48µm
_0234_,3.48µm
_0237_,3.48µm
_0252_,3.48µm
_0418_,3.48µm
delay_chain_inst.chain_2\[30\],3.48µm
delay_chain_inst.cycle_count\[13\],3.48µm
delay_chain_inst.delay_count_0\[7\],3.48µm
delay_chain_inst.delay_count_2\[12\],3.48µm
delay_chain_inst.delay_count_2\[13\],3.48µm
delay_chain_inst.delay_count_2\[15\],3.48µm
delay_chain_inst.start,3.48µm
net323,3.48µm
net565,3.48µm
_0449_,3.43µm
net544,3.43µm
_0004_,3.42µm
_0032_,3.42µm
_0040_,3.42µm
_0050_,3.42µm
_0057_,3.42µm
_0061_,3.42µm
_0065_,3.42µm
_0072_,3.42µm
_0074_,3.42µm
_0077_,3.42µm
_0099_,3.42µm
_0114_,3.42µm
_0128_,3.42µm
_0158_,3.42µm
_0164_,3.42µm
_0178_,3.42µm
_0216_,3.42µm
_0241_,3.42µm
_0245_,3.42µm
_0300_,3.42µm
_0309_,3.42µm
_0345_,3.42µm
_0347_,3.42µm
_0450_,3.42µm
_0543_,3.42µm
_0657_,3.42µm
_0789_,3.42µm
_0861_,3.42µm
delay_chain_inst.chain_2\[16\],3.42µm
delay_chain_inst.chain_2\[28\],3.42µm
delay_chain_inst.delay_count_0\[2\],3.42µm
delay_chain_inst.delay_count_1\[15\],3.42µm
delay_chain_inst.delay_count_1\[7\],3.42µm
ro_counter_inst.prev_rclk_2,3.42µm
state\[3\],3.42µm
net221,3.42µm
net257,3.42µm
net271,3.42µm
net303,3.42µm
net316,3.42µm
net322,3.42µm
net505,3.42µm
net518,3.42µm
_0529_,3.36µm
_0582_,3.36µm
_0660_,3.36µm
_0666_,3.36µm
_0021_,3.3µm
_0023_,3.3µm
_0034_,3.3µm
_0052_,3.3µm
_0053_,3.3µm
_0055_,3.3µm
_0088_,3.3µm
_0111_,3.3µm
_0176_,3.3µm
_0188_,3.3µm
_0206_,3.3µm
_0238_,3.3µm
_0262_,3.3µm
_0277_,3.3µm
_0479_,3.3µm
_0830_,3.295µm
_0720_,3.24µm
_0740_,3.235µm
_0772_,3.235µm
_0802_,3.235µm
_0313_,3.21µm
_0693_,3.18µm
_0357_,3.14µm
_0856_,3.14µm
_0921_,3.14µm
net356,3.14µm
net617,3.14µm
_0425_,3.13µm
_0573_,3.13µm
_0599_,3.13µm
_0608_,3.13µm
_0764_,3.13µm
_0905_,3.13µm
_0544_,3.07µm
_0485_,3.06µm
_0515_,3.06µm
net215,3.06µm
net247,3.06µm
net283,3.06µm
net447,3.06µm
net535,3.06µm
net591,3.06µm
_0020_,3µm
_0026_,3µm
_0044_,3µm
_0045_,3µm
_0047_,3µm
_0059_,3µm
_0064_,3µm
_0068_,3µm
_0075_,3µm
_0095_,3µm
_0101_,3µm
_0106_,3µm
_0107_,3µm
_0116_,3µm
_0127_,3µm
_0155_,3µm
_0168_,3µm
_0169_,3µm
_0186_,3µm
_0214_,3µm
_0222_,3µm
_0235_,3µm
_0249_,3µm
_0422_,3µm
_0501_,3µm
_0536_,3µm
_0551_,3µm
_0773_,3µm
_0854_,3µm
_0922_,3µm
delay_chain_inst.chain_0\[5\],3µm
delay_chain_inst.cycle_count\[14\],3µm
delay_chain_inst.delay_count_0\[12\],3µm
delay_chain_inst.delay_count_0\[4\],3µm
delay_chain_inst.delay_count_0\[6\],3µm
delay_chain_inst.delay_count_1\[10\],3µm
delay_chain_inst.delay_count_1\[14\],3µm
delay_chain_inst.delay_count_2\[11\],3µm
delay_chain_inst.delay_count_2\[6\],3µm
net574,3µm
_0138_,2.96µm
_0022_,2.94µm
_0025_,2.94µm
_0041_,2.94µm
_0046_,2.94µm
_0066_,2.94µm
_0073_,2.94µm
_0120_,2.94µm
_0129_,2.94µm
_0171_,2.94µm
_0175_,2.94µm
_0258_,2.94µm
_0322_,2.94µm
_0349_,2.94µm
_0482_,2.94µm
_0686_,2.94µm
_0736_,2.94µm
_0870_,2.94µm
delay_chain_inst.chain_2\[22\],2.94µm
delay_chain_inst.delay_count_0\[15\],2.94µm
delay_chain_inst.delay_count_0\[5\],2.94µm
delay_chain_inst.delay_count_1\[11\],2.94µm
delay_chain_inst.delay_count_1\[9\],2.94µm
delay_chain_inst.delay_count_2\[10\],2.94µm
delay_chain_inst.delay_count_2\[9\],2.94µm
ro_counter_inst.measurement_window\[2\],2.94µm
net273,2.94µm
net419,2.94µm
net421,2.94µm
net423,2.94µm
net445,2.94µm
net510,2.94µm
net548,2.94µm
net576,2.94µm
net608,2.94µm
_0504_,2.76µm
_0556_,2.76µm
_0857_,2.76µm
_0901_,2.76µm
_0876_,2.755µm
_0858_,2.7µm
_0878_,2.695µm
_0732_,2.66µm
_0927_,2.66µm
net503,2.66µm
_0372_,2.64µm
_0352_,2.58µm
_0439_,2.58µm
_0509_,2.58µm
_0794_,2.58µm
net225,2.58µm
net239,2.58µm
net372,2.58µm
net401,2.58µm
net486,2.58µm
_0017_,2.52µm
_0036_,2.52µm
_0043_,2.52µm
_0063_,2.52µm
_0067_,2.52µm
_0071_,2.52µm
_0148_,2.52µm
_0227_,2.52µm
_0228_,2.52µm
_0260_,2.52µm
_0267_,2.52µm
_0908_,2.52µm
delay_chain_inst.delay_count_0\[13\],2.52µm
delay_chain_inst.delay_count_0\[9\],2.52µm
delay_chain_inst.delay_count_2\[8\],2.52µm
ro_counter_inst.prev_rclk_1,2.52µm
net327,2.52µm
net540,2.52µm
net553,2.52µm
_0809_,2.4µm
net613,2.4µm
_0324_,2.37µm
net98,2.34µm
_0316_,2.28µm
_0328_,2.28µm
_0637_,2.28µm
_0672_,2.28µm
_0904_,2.28µm
_0906_,2.28µm
net483,2.18µm
_0408_,2.115µm
_0413_,2.1µm
_0484_,2.1µm
_0494_,2.1µm
_0795_,2.1µm
net223,2.1µm
net227,2.1µm
net233,2.1µm
net235,2.1µm
net237,2.1µm
net243,2.1µm
net245,2.1µm
net280,2.1µm
net287,2.1µm
net307,2.1µm
net312,2.1µm
net320,2.1µm
net334,2.1µm
net358,2.1µm
net366,2.1µm
net476,2.1µm
net488,2.1µm
net493,2.1µm
net514,2.1µm
net521,2.1µm
net525,2.1µm
net598,2.1µm
net522,1.92µm
net585,1.92µm
_0304_,1.89µm
_0440_,1.86µm
net369,1.86µm
_0006_,1.8µm
_0296_,1.8µm
_0303_,1.8µm
_0312_,1.8µm
_0314_,1.8µm
_0317_,1.8µm
_0318_,1.8µm
_0321_,1.8µm
_0327_,1.8µm
_0331_,1.8µm
_0332_,1.8µm
_0334_,1.8µm
_0335_,1.8µm
_0336_,1.8µm
_0337_,1.8µm
_0338_,1.8µm
_0340_,1.8µm
_0342_,1.8µm
_0343_,1.8µm
_0348_,1.8µm
_0359_,1.8µm
_0424_,1.8µm
_0430_,1.8µm
_0431_,1.8µm
_0783_,1.8µm
_0943_,1.8µm
_0896_,1.795µm
_0330_,1.59µm
_0339_,1.59µm
_0495_,1.44µm
net305,1.44µm
net609,1.44µm
_0350_,1.38µm
_0592_,1.38µm
delay_chain_inst.chain_1\[10\],1.38µm
delay_chain_inst.chain_2\[21\],1.38µm
delay_chain_inst.chain_2\[27\],1.38µm
delay_chain_inst.cycle_count\[3\],1.38µm
delay_chain_inst.delay_count_0\[11\],1.38µm
delay_chain_inst.delay_count_0\[14\],1.38µm
delay_chain_inst.delay_count_2\[2\],1.38µm
start_prev,1.38µm
_0387_,0.96µm
_0391_,0.96µm
_0404_,0.96µm
_0414_,0.96µm
_0499_,0.96µm
_0510_,0.96µm
_0648_,0.96µm
_0791_,0.96µm
net478,0.96µm
net491,0.96µm
net512,0.96µm
net537,0.96µm
net539,0.96µm
net572,0.96µm
net602,0.96µm
net605,0.96µm
